Feedback ID,Product ID,Return Date,Return Reason,Customer Feedback
1,124,2023-06-04,Changed my mind,The product I received didn't match the description. It was misleading.
2,160,2022-12-22,Not as described,The product I received didn't match the description. It was misleading.
3,187,2023-03-10,Defective product,The product I received was defective. It didn't work properly.
4,37,2023-02-10,Changed my mind,I received the wrong item. It's not what I ordered.
5,178,2022-12-15,Not as described,The quality of the product is disappointing. It's not worth the price.
6,179,2023-06-18,Defective product,The product I received was defective. It didn't work properly.
7,172,2022-11-22,Not as described,The product I received was defective. It didn't work properly.
8,5,2023-03-10,Wrong item received,I expected something different based on the description. Disappointed.
9,97,2023-06-07,Not as described,I received the wrong item. It's not what I ordered.
10,150,2023-04-03,Wrong item received,I'm not satisfied with the quality of this product. It's subpar.
11,170,2023-01-17,Not as described,I'm not satisfied with the quality of this product. It's subpar.
12,135,2023-08-08,Defective product,"Unfortunately, I decided I didn't need this product anymore."
13,12,2023-07-02,Wrong item received,I received the wrong item. It's not what I ordered.
14,66,2023-02-27,Poor quality,The product I received didn't match the description. It was misleading.
15,44,2023-07-13,Wrong item received,"Unfortunately, I decided I didn't need this product anymore."
16,16,2023-03-19,Defective product,I expected something different based on the description. Disappointed.
17,73,2023-08-18,Wrong item received,The product I received was defective. It didn't work properly.
18,52,2022-11-06,Not as described,I changed my mind after purchasing the product. Can I return it for a refund?
19,179,2023-04-04,Not as described,The product I received didn't match the description. It was misleading.
20,159,2022-11-19,Poor quality,"This product had a defect, and I'm not satisfied with it."
21,70,2022-09-17,Wrong item received,I expected something different based on the description. Disappointed.
22,14,2022-11-08,Not as described,I received the wrong item. It's not what I ordered.
23,120,2022-09-27,Wrong item received,The product I received didn't match the description. It was misleading.
24,168,2023-07-22,Changed my mind,"This is not what I ordered, and I'd like to get the correct item."
25,3,2023-07-08,Not as described,I expected something different based on the description. Disappointed.
26,18,2022-10-17,Wrong item received,"This product had a defect, and I'm not satisfied with it."
27,100,2023-02-05,Not as described,I received the wrong item. It's not what I ordered.
28,170,2023-04-18,Changed my mind,The quality of the product is disappointing. It's not worth the price.
29,70,2023-05-28,Changed my mind,"This is not what I ordered, and I'd like to get the correct item."
30,170,2022-11-12,Not as described,"This product had a defect, and I'm not satisfied with it."
31,169,2022-09-20,Changed my mind,"This is not what I ordered, and I'd like to get the correct item."
32,93,2023-03-06,Not as described,I expected something different based on the description. Disappointed.
33,28,2022-10-22,Defective product,The product I received didn't match the description. It was misleading.
34,5,2023-01-18,Poor quality,The quality of the product is disappointing. It's not worth the price.
35,75,2023-06-01,Defective product,"This is not what I ordered, and I'd like to get the correct item."
36,167,2023-02-24,Changed my mind,The product I received didn't match the description. It was misleading.
37,99,2023-09-08,Not as described,I received the wrong item. It's not what I ordered.
38,60,2022-10-18,Defective product,"Unfortunately, I decided I didn't need this product anymore."
39,98,2022-12-22,Wrong item received,I expected something different based on the description. Disappointed.
40,131,2023-07-14,Wrong item received,"This is not what I ordered, and I'd like to get the correct item."
41,182,2023-02-18,Wrong item received,I expected something different based on the description. Disappointed.
42,26,2023-04-27,Not as described,"Unfortunately, I decided I didn't need this product anymore."
43,81,2023-08-31,Changed my mind,I changed my mind after purchasing the product. Can I return it for a refund?
44,125,2023-04-09,Not as described,I expected something different based on the description. Disappointed.
45,153,2023-02-02,Changed my mind,I changed my mind after purchasing the product. Can I return it for a refund?
46,137,2023-04-01,Poor quality,The product I received didn't match the description. It was misleading.
47,23,2023-01-13,Not as described,The product I received was defective. It didn't work properly.
48,48,2023-01-11,Poor quality,The quality of the product is disappointing. It's not worth the price.
49,51,2023-07-20,Not as described,"This product had a defect, and I'm not satisfied with it."
50,129,2023-01-17,Poor quality,"Unfortunately, I decided I didn't need this product anymore."
51,118,2023-01-13,Poor quality,I expected something different based on the description. Disappointed.
52,144,2022-10-02,Not as described,The product I received was defective. It didn't work properly.
53,183,2022-10-07,Defective product,"This is not what I ordered, and I'd like to get the correct item."
54,6,2023-05-21,Wrong item received,I received the wrong item. It's not what I ordered.
55,11,2023-09-05,Poor quality,"This is not what I ordered, and I'd like to get the correct item."
56,64,2023-07-19,Wrong item received,The product I received didn't match the description. It was misleading.
57,136,2023-03-25,Not as described,I changed my mind after purchasing the product. Can I return it for a refund?
58,79,2023-08-13,Poor quality,The product I received didn't match the description. It was misleading.
59,86,2022-11-03,Wrong item received,"Unfortunately, I decided I didn't need this product anymore."
60,126,2022-11-07,Wrong item received,I'm not satisfied with the quality of this product. It's subpar.
61,101,2023-01-28,Changed my mind,I expected something different based on the description. Disappointed.
62,191,2023-04-14,Defective product,I'm not satisfied with the quality of this product. It's subpar.
63,41,2023-04-04,Wrong item received,I expected something different based on the description. Disappointed.
64,5,2023-05-14,Not as described,I'm not satisfied with the quality of this product. It's subpar.
65,89,2023-08-26,Not as described,The quality of the product is disappointing. It's not worth the price.
66,176,2023-02-26,Changed my mind,I expected something different based on the description. Disappointed.
67,91,2023-03-31,Wrong item received,The product I received was defective. It didn't work properly.
68,91,2022-10-24,Poor quality,"This is not what I ordered, and I'd like to get the correct item."
69,161,2023-06-25,Not as described,I'm not satisfied with the quality of this product. It's subpar.
70,78,2023-04-03,Poor quality,I received the wrong item. It's not what I ordered.
71,61,2023-02-25,Not as described,I expected something different based on the description. Disappointed.
72,129,2023-08-16,Poor quality,I'm not satisfied with the quality of this product. It's subpar.
73,71,2023-04-26,Defective product,"This is not what I ordered, and I'd like to get the correct item."
74,16,2023-05-09,Wrong item received,I received the wrong item. It's not what I ordered.
